User ID,Session ID,Feature Used,Timestamp,Action Type,Feedback Text
U027,S086,Cook Coordination,2025-06-14 06:02:53,Book Cook,Fantastic experience with the cook coordination!
U025,S005,Grocery Ordering,2025-05-31 10:27:24,Add to Cart,Loved how intuitive the meal planning was.
U023,S040,Meal Planning,2025-05-27 18:38:23,Search Recipe,The recipe suggestions were spot-on.
U026,S043,Grocery Ordering,2025-06-01 06:57:56,Add to Cart,Took forever to suggest a meal plan.
U023,S083,Cook Coordination,2025-05-18 17:49:38,Confirm Booking,UI could use a little polishing.
U022,S004,Meal Planning,2025-05-29 03:10:24,Save Plan,Very smooth grocery ordering.
U003,S014,Cook Coordination,2025-05-22 15:39:08,Confirm Booking,Very smooth grocery ordering.
U028,S078,Cook Coordination,2025-06-03 05:45:50,Book Cook,"Cook arrived right on time, great!"
U013,S033,Meal Planning,2025-06-05 13:39:55,Modify Plan,UI could use a little polishing.
U035,S088,Cook Coordination,2025-05-18 14:53:26,Cancel Booking,Grocery order failed midway and app crashed.
U024,S056,Meal Planning,2025-06-14 19:33:44,Modify Plan,Feedback form didn't work and app lagged a lot.
U021,S085,Meal Planning,2025-06-12 03:01:46,Modify Plan,Feedback form didn't work and app lagged a lot.
U020,S086,Grocery Ordering,2025-05-25 07:28:11,Place Order,"Nothing extraordinary, but worked."
U036,S017,Meal Planning,2025-05-31 17:59:15,Save Plan,"Average experience, got the job done."
U044,S096,Meal Planning,2025-05-30 18:34:38,Modify Plan,"Average experience, got the job done."
U036,S001,Grocery Ordering,2025-05-19 01:15:10,Place Order,"Cook arrived right on time, great!"
U039,S084,Grocery Ordering,2025-05-21 22:47:53,Place Order,Expected a bit more customization.
U033,S061,Cook Coordination,2025-06-09 21:54:04,Book Cook,"Nothing extraordinary, but worked."
U033,S085,Cook Coordination,2025-06-12 09:10:52,Cancel Booking,The recipe suggestions were spot-on.
U044,S040,Meal Planning,2025-05-31 21:06:28,Search Recipe,Fantastic experience with the cook coordination!
U016,S061,Cook Coordination,2025-06-07 04:49:47,Book Cook,UI could use a little polishing.
U013,S092,Cook Coordination,2025-06-07 07:07:19,Confirm Booking,Expected a bit more customization.
U010,S084,Cook Coordination,2025-06-16 00:43:48,Book Cook,The cook never showed up. Very bad experience.
U050,S055,Meal Planning,2025-05-22 18:55:15,Search Recipe,Feedback form didn't work and app lagged a lot.
U030,S007,Cook Coordination,2025-06-06 19:58:49,Book Cook,The cook never showed up. Very bad experience.
U030,S018,Grocery Ordering,2025-06-16 22:20:25,Remove Item,UI could use a little polishing.
U039,S041,Grocery Ordering,2025-06-04 18:30:52,Remove Item,Feedback form didn't work and app lagged a lot.
U028,S071,Grocery Ordering,2025-05-26 11:34:46,Add to Cart,Very buggy and frustrating to use.
U029,S034,Meal Planning,2025-05-26 12:36:20,Modify Plan,"Cook arrived right on time, great!"
U032,S081,Meal Planning,2025-05-31 18:35:50,Save Plan,"Nothing extraordinary, but worked."
U016,S035,Grocery Ordering,2025-05-30 05:35:52,Place Order,The cook never showed up. Very bad experience.
U009,S020,Meal Planning,2025-06-01 23:04:37,Save Plan,Expected a bit more customization.
U005,S054,Grocery Ordering,2025-05-27 09:08:04,Place Order,"Average experience, got the job done."
U004,S027,Grocery Ordering,2025-06-16 13:34:48,Place Order,Feedback form didn't work and app lagged a lot.
U045,S003,Cook Coordination,2025-06-03 22:32:38,Confirm Booking,"Nothing extraordinary, but worked."
U020,S097,Grocery Ordering,2025-05-26 03:05:33,Place Order,UI could use a little polishing.
U039,S029,Grocery Ordering,2025-06-06 16:03:02,Add to Cart,Loved how intuitive the meal planning was.
U002,S050,Grocery Ordering,2025-06-09 03:12:28,Remove Item,"Average experience, got the job done."
U047,S022,Grocery Ordering,2025-06-13 12:00:57,Add to Cart,Feedback form didn't work and app lagged a lot.
U002,S051,Cook Coordination,2025-06-14 10:20:18,Cancel Booking,It was decent overall.
U042,S055,Meal Planning,2025-06-16 03:18:12,Save Plan,Very smooth grocery ordering.
U025,S042,Meal Planning,2025-05-25 21:13:35,Save Plan,Loved how intuitive the meal planning was.
U018,S097,Grocery Ordering,2025-06-16 13:12:39,Place Order,Very buggy and frustrating to use.
U002,S096,Cook Coordination,2025-06-05 00:37:50,Book Cook,Took forever to suggest a meal plan.
U015,S084,Meal Planning,2025-05-20 02:01:00,Modify Plan,Fantastic experience with the cook coordination!
U016,S026,Meal Planning,2025-05-31 15:31:52,Modify Plan,The recipe suggestions were spot-on.
U031,S086,Meal Planning,2025-06-16 18:46:37,Modify Plan,Very buggy and frustrating to use.
U045,S033,Grocery Ordering,2025-06-05 18:37:49,Add to Cart,It was decent overall.
U050,S021,Grocery Ordering,2025-06-13 20:32:37,Add to Cart,"Nothing extraordinary, but worked."
U037,S087,Grocery Ordering,2025-06-12 21:29:41,Place Order,Grocery order failed midway and app crashed.
U005,S076,Cook Coordination,2025-06-15 09:42:47,Cancel Booking,Very smooth grocery ordering.
U044,S077,Meal Planning,2025-05-25 08:42:00,Modify Plan,Took forever to suggest a meal plan.
U035,S055,Cook Coordination,2025-05-19 11:59:25,Confirm Booking,Very smooth grocery ordering.
U001,S054,Grocery Ordering,2025-05-30 17:18:29,Add to Cart,"Nothing extraordinary, but worked."
U041,S059,Cook Coordination,2025-06-07 08:59:22,Book Cook,UI could use a little polishing.
U042,S035,Cook Coordination,2025-05-26 23:16:19,Cancel Booking,Very buggy and frustrating to use.
U028,S094,Cook Coordination,2025-05-22 17:02:21,Confirm Booking,The recipe suggestions were spot-on.
U006,S036,Grocery Ordering,2025-06-15 00:16:30,Add to Cart,Feedback form didn't work and app lagged a lot.
U040,S086,Grocery Ordering,2025-05-29 23:39:28,Place Order,Very smooth grocery ordering.
U012,S063,Meal Planning,2025-06-16 03:49:31,Save Plan,Took forever to suggest a meal plan.
U018,S077,Cook Coordination,2025-06-12 03:35:49,Confirm Booking,UI could use a little polishing.
U013,S011,Meal Planning,2025-05-24 19:42:40,Modify Plan,UI could use a little polishing.
U049,S031,Cook Coordination,2025-05-28 02:34:19,Confirm Booking,"Average experience, got the job done."
U029,S003,Meal Planning,2025-06-08 10:05:57,Save Plan,The recipe suggestions were spot-on.
U020,S085,Cook Coordination,2025-05-29 17:59:11,Confirm Booking,UI could use a little polishing.
U023,S055,Cook Coordination,2025-06-12 01:12:24,Cancel Booking,Loved how intuitive the meal planning was.
U018,S040,Grocery Ordering,2025-05-28 20:15:59,Add to Cart,The recipe suggestions were spot-on.
U021,S016,Cook Coordination,2025-06-14 21:49:32,Cancel Booking,Grocery order failed midway and app crashed.
U013,S028,Cook Coordination,2025-06-04 21:38:24,Confirm Booking,"Cook arrived right on time, great!"
U049,S068,Cook Coordination,2025-06-15 20:49:15,Confirm Booking,Grocery order failed midway and app crashed.
U019,S030,Grocery Ordering,2025-06-14 16:38:17,Add to Cart,"Cook arrived right on time, great!"
U009,S036,Meal Planning,2025-05-19 07:18:11,Search Recipe,Expected a bit more customization.
U041,S097,Grocery Ordering,2025-05-19 23:13:21,Add to Cart,Feedback form didn't work and app lagged a lot.
U019,S061,Grocery Ordering,2025-06-01 16:17:57,Place Order,Fantastic experience with the cook coordination!
U017,S062,Meal Planning,2025-05-22 21:24:43,Search Recipe,It was decent overall.
U037,S081,Cook Coordination,2025-05-24 13:24:49,Book Cook,"Cook arrived right on time, great!"
U020,S011,Meal Planning,2025-06-11 20:07:06,Search Recipe,"Average experience, got the job done."
U039,S077,Cook Coordination,2025-05-25 03:13:31,Book Cook,Very buggy and frustrating to use.
U029,S057,Grocery Ordering,2025-06-04 08:53:01,Remove Item,Took forever to suggest a meal plan.
U037,S080,Meal Planning,2025-05-19 14:20:56,Modify Plan,The cook never showed up. Very bad experience.
U049,S027,Cook Coordination,2025-06-14 22:31:55,Book Cook,Fantastic experience with the cook coordination!
U011,S031,Meal Planning,2025-05-26 23:04:36,Modify Plan,Fantastic experience with the cook coordination!
U027,S058,Cook Coordination,2025-05-31 04:17:55,Cancel Booking,It was decent overall.
U015,S037,Cook Coordination,2025-05-19 21:32:16,Confirm Booking,Very buggy and frustrating to use.
U005,S088,Meal Planning,2025-05-19 01:05:25,Save Plan,Feedback form didn't work and app lagged a lot.
U043,S026,Grocery Ordering,2025-06-17 00:25:57,Add to Cart,Expected a bit more customization.
U018,S019,Meal Planning,2025-05-31 02:36:41,Search Recipe,Very smooth grocery ordering.
U039,S096,Cook Coordination,2025-06-04 12:27:53,Confirm Booking,"Average experience, got the job done."
U045,S039,Cook Coordination,2025-06-04 03:18:18,Confirm Booking,Feedback form didn't work and app lagged a lot.
U035,S064,Grocery Ordering,2025-06-12 01:21:54,Add to Cart,"Average experience, got the job done."
U048,S042,Cook Coordination,2025-06-07 03:50:47,Confirm Booking,The recipe suggestions were spot-on.
U044,S074,Cook Coordination,2025-05-26 20:44:56,Book Cook,Took forever to suggest a meal plan.
U037,S006,Meal Planning,2025-06-03 06:03:59,Save Plan,"Average experience, got the job done."
U018,S024,Cook Coordination,2025-05-21 15:11:15,Confirm Booking,"Average experience, got the job done."
U006,S061,Grocery Ordering,2025-06-04 04:55:50,Place Order,Fantastic experience with the cook coordination!
U011,S043,Grocery Ordering,2025-06-08 00:05:12,Remove Item,"Average experience, got the job done."
U049,S071,Meal Planning,2025-05-28 05:33:04,Save Plan,Very smooth grocery ordering.
U021,S015,Grocery Ordering,2025-06-08 04:44:42,Remove Item,The cook never showed up. Very bad experience.
U043,S070,Grocery Ordering,2025-06-12 06:03:17,Place Order,"Cook arrived right on time, great!"
U024,S080,Grocery Ordering,2025-05-31 03:29:15,Remove Item,It was decent overall.
U014,S035,Cook Coordination,2025-05-25 10:31:32,Book Cook,Very buggy and frustrating to use.
U045,S063,Meal Planning,2025-06-13 14:59:50,Search Recipe,Feedback form didn't work and app lagged a lot.
U016,S091,Meal Planning,2025-05-19 10:55:23,Save Plan,UI could use a little polishing.
U027,S012,Meal Planning,2025-06-15 11:11:36,Search Recipe,It was decent overall.
U042,S020,Grocery Ordering,2025-06-06 13:15:03,Remove Item,Very smooth grocery ordering.
U027,S062,Grocery Ordering,2025-05-27 14:10:58,Add to Cart,Expected a bit more customization.
U025,S025,Cook Coordination,2025-05-27 23:25:32,Cancel Booking,Grocery order failed midway and app crashed.
U005,S036,Grocery Ordering,2025-05-28 18:04:48,Place Order,Feedback form didn't work and app lagged a lot.
U018,S001,Grocery Ordering,2025-05-21 14:12:29,Remove Item,"Cook arrived right on time, great!"
U038,S085,Grocery Ordering,2025-06-09 16:14:53,Add to Cart,"Average experience, got the job done."
U023,S043,Cook Coordination,2025-06-12 12:25:34,Cancel Booking,Very smooth grocery ordering.
U013,S090,Meal Planning,2025-05-20 05:44:31,Modify Plan,Loved how intuitive the meal planning was.
U003,S041,Cook Coordination,2025-06-07 02:04:48,Confirm Booking,Very buggy and frustrating to use.
U025,S085,Cook Coordination,2025-06-08 23:36:06,Book Cook,It was decent overall.
U009,S065,Cook Coordination,2025-06-07 11:05:50,Confirm Booking,Very buggy and frustrating to use.
U007,S068,Grocery Ordering,2025-05-20 02:27:09,Add to Cart,Very buggy and frustrating to use.
U042,S020,Meal Planning,2025-05-19 03:33:35,Save Plan,Took forever to suggest a meal plan.
U022,S080,Cook Coordination,2025-05-23 14:40:48,Confirm Booking,"Nothing extraordinary, but worked."
U044,S069,Grocery Ordering,2025-06-07 07:25:21,Place Order,"Average experience, got the job done."
U035,S005,Cook Coordination,2025-06-09 01:21:36,Book Cook,Very smooth grocery ordering.
U015,S096,Meal Planning,2025-06-14 23:39:16,Save Plan,The cook never showed up. Very bad experience.
U029,S022,Cook Coordination,2025-06-05 01:06:48,Confirm Booking,The cook never showed up. Very bad experience.
U021,S008,Grocery Ordering,2025-05-25 01:30:45,Place Order,The recipe suggestions were spot-on.
U016,S068,Grocery Ordering,2025-05-27 07:02:48,Remove Item,Expected a bit more customization.
U011,S023,Meal Planning,2025-06-05 14:14:04,Modify Plan,Feedback form didn't work and app lagged a lot.
